Character,Integer
79B Aickman Road,0
A. H. Millington,1
Abigail Pettigrew,2
Abzorbaloff,3
Ace,4
Ace (Death Comes to Time),5
Ada Lovelace,6
Adam Mitchell,7
Adelaide Brooke,8
Adolf Hitler,9
Adrasta,10
Adric,11
Agatha Christie,12
Aggedor (The Curse of Peladon),13
Akhaten,14
Alastair Lethbridge-Stewart,15
Alaya,16
Albert Einstein,17
Alistair Gordon Lethbridge-Stewart,18
Allison Williams,19
Alonso Frame,20
Alpha Centauri (The Curse of Peladon),21
Amazonia,22
Amy Pond,23
Amy Pond (The Girl Who Waited),24
Ancelyn,25
Ander Poul,26
Angelo (Tooth and Claw),27
Angie Maitland,28
Animus,29
Ann Talbot,30
Anti-matter creature,31
Antimony (Death Comes to Time),32
Archibald Hamish Lethbridge-Stewart,33
Arcturus (The Curse of Peladon),34
Arnold Golightly,35
Arthur Candy,36
Arthur Linwood,37
Artie Maitland,38
Ashad,39
Ashildr,40
Astra of Atrios,41
Astrid Peth,42
Auton,43
Axos,44
Azal,45
Azaxyr,46
Azlok,47
Azmael,48
BOSS,49
Bad Wolf (entity),50
Baltazar,51
Bannermen,52
Barbara Wright,53
Barnable,54
Ben Jackson,55
Bennett (The Rescue),56
Bill Potts,57
Bill Potts (Shadow World),58
Billy Clanton,59
Black Dalek Leader,60
Black Guardian,61
Blon Fel-Fotch Passameer-Day Slitheen,62
Boneless,63
Bonnie (The Zygon Invasion),64
Borad,65
Bors (The Doctor's Meditation),66
Borusa,67
Bragen,68
Bret Vyon,69
Brian Cox,70
Brian Williams (Dinosaurs on a Spaceship),71
Broton,72
Bruno Taltalian,73
Butler (Invasion of the Dinosaurs),74
Canton Everett Delaware III,75
Captain,76
Carol Bell,77
Carrington (The Ambassadors of Death),78
Carrionite,79
Carter (Let's Kill Hitler),80
Casp,81
Cassandra (The Myth Makers),82
Cassandra O'Brien.Δ17,83
Cassie Rice,84
Catherine de Medici,85
Celestial Toymaker,86
Cessair of Diplos,87
Chagaska,88
Chameleon (humanoid),89
Chancellor (The Three Doctors),90
Chang Lee,91
Channing,92
Charles Dickens,93
Charles Grover,94
Charles Kettering,95
Charlie Duffy,96
Cheetah Person,97
Chela,98
Cherub (The Smugglers),99
Chessene of the Franzine Grig,100
Chief Caretaker,101
Chief Officer,102
Chief clown,103
Chloe Webber's father,104
Chris Parsons,105
Christina de Souza,106
Chronotis,107
City Administrator (The Sensorites),108
Clara Oswald,109
Clara Oswald (The Bells of Saint John),110
Clare Keightley,111
Clifford Jones,112
Clive Finch,113
Clive Jones,114
Clockwork Droid,115
Cobb (The Doctor's Daughter),116
Cofelia,117
Collinson,118
Commander,119
Commander (The Sensorites),120
Control node (The Girl in the Fireplace),121
Copper (Voyage of the Damned),122
Courtney Woods,123
Craig Owens,124
Cult of Skaro,125
Cutler (The Tenth Planet),126
Cyber-Controller,127
Cyber-Controller (The Tomb of the Cybermen),128
Cyber-Director,129
Cyber-Leader (Earthshock),130
Cyber-Leader (Revenge of the Cybermen),131
Cyber-Leader (Silver Nemesis),132
Cyber-Leader One,133
Cyber-Planner (The Wheel in Space),134
CyberMondan,135
CyberTelosian,136
Cyberman,137
Cyberman (Mondas),138
Cyberman (Pete's World),139
Cybermen,140
Cyril Arwell,141
Dalek,142
Dalek Caan,143
Dalek Emperor in the Last Great Time War,144
Dalek Fleet,145
Dalek Prime,146
Dalek Sec,147
Dalek Supreme (Planet of the Daleks),148
Dalek of human origin,149
Daleks,150
Daniel Barton,151
Danny Pink,152
Davros,153
De Flores,154
Dent (Colony in Space),155
Dermot O'Leary (National Television Awards),156
Dodo Chaplet,157
Donna Noble,158
Dorium Maldovar,159
Dorothy Skerrit,160
Drashig,161
Drax,162
Dream Lord,163
Dream crab,164
Dreg,165
Duggan,166
Dukkha,167
Dymond,168
Dæmon,169
Eater of Light,170
Eckersley,171
Edal,172
Editor (Tardisode 12),173
Edward Travers,174
Edwards (The Smugglers),175
Edwin Bracewell,176
Eelek,177
Eight Legs,178
Eighth Doctor,179
